step(s);edge;lane_id;queue(xe);waitingTime(s);avgSpeed(m/s);density(m);outflow(xe);greenTime(s);redTime(s);cycleTime(s)
0;E1-3;E1-3_0;1;0.0;0,000000;10,000000;1;84.0;90.0;90.0
0;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
30;E1-3;E1-3_0;4;38.0;2,303808;60,000000;6;84.0;90.0;90.0
30;E1-3;E1-3_1;3;28.0;2,016892;40,000000;4;84.0;90.0;90.0
60;E1-3;E1-3_0;0;0.0;9,332016;40,000000;4;84.0;90.0;90.0
60;E1-3;E1-3_1;0;0.0;11,044945;10,000000;1;84.0;90.0;90.0
90;E1-3;E1-3_0;0;0.0;7,341776;40,000000;4;84.0;90.0;90.0
90;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
120;E1-3;E1-3_0;5;83.0;1,212875;80,000000;8;84.0;90.0;90.0
120;E1-3;E1-3_1;5;68.0;0,934690;60,000000;6;84.0;90.0;90.0
150;E1-3;E1-3_0;0;0.0;5,540126;60,000000;6;84.0;90.0;90.0
150;E1-3;E1-3_1;0;0.0;8,353036;50,000000;5;84.0;90.0;90.0
180;E1-3;E1-3_0;0;0.0;7,242761;40,000000;4;84.0;90.0;90.0
180;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
210;E1-3;E1-3_0;6;85.0;1,747103;80,000000;8;84.0;90.0;90.0
210;E1-3;E1-3_1;5;66.0;1,279477;60,000000;6;84.0;90.0;90.0
240;E1-3;E1-3_0;0;0.0;5,497906;60,000000;6;84.0;90.0;90.0
240;E1-3;E1-3_1;0;0.0;6,007348;50,000000;5;84.0;90.0;90.0
270;E1-3;E1-3_0;0;0.0;7,854110;40,000000;4;84.0;90.0;90.0
270;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
300;E1-3;E1-3_0;6;80.0;0,821563;80,000000;8;84.0;90.0;90.0
300;E1-3;E1-3_1;5;59.0;1,834485;60,000000;6;84.0;90.0;90.0
330;E1-3;E1-3_0;0;0.0;8,175105;50,000000;5;84.0;90.0;90.0
330;E1-3;E1-3_1;0;0.0;9,337767;40,000000;4;84.0;90.0;90.0
360;E1-3;E1-3_0;0;0.0;7,440886;40,000000;4;84.0;90.0;90.0
360;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
390;E1-3;E1-3_0;6;91.0;1,516913;80,000000;8;84.0;90.0;90.0
390;E1-3;E1-3_1;5;71.0;1,142602;60,000000;6;84.0;90.0;90.0
420;E1-3;E1-3_0;1;0.0;5,688629;60,000000;6;84.0;90.0;90.0
420;E1-3;E1-3_1;0;0.0;7,148886;50,000000;5;84.0;90.0;90.0
450;E1-3;E1-3_0;0;0.0;7,762550;40,000000;4;84.0;90.0;90.0
450;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
480;E1-3;E1-3_0;7;93.0;1,707975;90,000000;9;84.0;90.0;90.0
480;E1-3;E1-3_1;5;72.0;1,358662;60,000000;6;84.0;90.0;90.0
510;E1-3;E1-3_0;1;0.0;6,137784;70,000000;7;84.0;90.0;90.0
510;E1-3;E1-3_1;0;0.0;7,842498;50,000000;5;84.0;90.0;90.0
540;E1-3;E1-3_0;1;0.0;4,670239;40,000000;4;84.0;90.0;90.0
540;E1-3;E1-3_1;0;0.0;9,254402;10,000000;1;84.0;90.0;90.0
570;E1-3;E1-3_0;7;91.0;1,667605;90,000000;9;84.0;90.0;90.0
570;E1-3;E1-3_1;5;75.0;0,842088;60,000000;6;84.0;90.0;90.0
600;E1-3;E1-3_0;0;0.0;6,828215;50,000000;5;84.0;90.0;90.0
600;E1-3;E1-3_1;0;0.0;7,181066;50,000000;5;84.0;90.0;90.0
630;E1-3;E1-3_0;0;0.0;7,143450;40,000000;4;84.0;90.0;90.0
630;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
660;E1-3;E1-3_0;6;90.0;1,959743;80,000000;8;84.0;90.0;90.0
660;E1-3;E1-3_1;5;71.0;1,384115;60,000000;6;84.0;90.0;90.0
690;E1-3;E1-3_0;0;0.0;7,030526;60,000000;6;84.0;90.0;90.0
690;E1-3;E1-3_1;0;0.0;6,028077;60,000000;6;84.0;90.0;90.0
720;E1-3;E1-3_0;0;0.0;5,238333;40,000000;4;84.0;90.0;90.0
720;E1-3;E1-3_1;0;0.0;8,970808;10,000000;1;84.0;90.0;90.0
750;E1-3;E1-3_0;6;97.0;2,027876;90,000000;9;84.0;90.0;90.0
750;E1-3;E1-3_1;5;81.0;0,023186;60,000000;6;84.0;90.0;90.0
780;E1-3;E1-3_0;1;0.0;5,334905;70,000000;7;84.0;90.0;90.0
780;E1-3;E1-3_1;0;0.0;7,328220;40,000000;4;84.0;90.0;90.0
810;E1-3;E1-3_0;0;0.0;8,069320;40,000000;4;84.0;90.0;90.0
810;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
840;E1-3;E1-3_0;6;84.0;1,731499;80,000000;8;84.0;90.0;90.0
840;E1-3;E1-3_1;5;70.0;1,350802;60,000000;6;84.0;90.0;90.0
870;E1-3;E1-3_0;1;0.0;5,515600;60,000000;6;84.0;90.0;90.0
870;E1-3;E1-3_1;0;0.0;7,172774;50,000000;5;84.0;90.0;90.0
900;E1-3;E1-3_0;1;0.0;6,120674;50,000000;5;84.0;90.0;90.0
900;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
930;E1-3;E1-3_0;7;95.0;1,652662;90,000000;9;84.0;90.0;90.0
930;E1-3;E1-3_1;5;76.0;0,405104;60,000000;6;84.0;90.0;90.0
960;E1-3;E1-3_0;1;0.0;5,460331;70,000000;7;84.0;90.0;90.0
960;E1-3;E1-3_1;0;0.0;7,503533;50,000000;5;84.0;90.0;90.0
990;E1-3;E1-3_0;0;0.0;8,106941;40,000000;4;84.0;90.0;90.0
990;E1-3;E1-3_1;0;0.0;13,890000;0,000000;0;84.0;90.0;90.0
